n,V,A
0,0.0000,0.0000
1,0.0195,-0.0488
2,0.0195,0.0000
3,0.0342,0.0000
4,0.0537,-0.0488
5,0.0732,-0.0488
6,0.0879,0.0000
7,0.1123,-0.1465
8,0.1270,0.0000
9,0.1465,0.0000
10,0.1660,0.0000
11,0.1855,-0.0488
12,0.2051,0.0000
13,0.2246,0.0000
14,0.2393,0.0488
15,0.2588,0.2930
16,0.3076,-0.2930
17,0.3027,-0.0977
18,0.3174,-0.0488
19,0.3369,0.0000
20,0.3564,0.0000
21,0.3760,0.0000
22,0.3955,0.0000
23,0.4150,0.2930
24,0.4639,-0.3906
25,0.4395,0.0977
26,0.4688,0.0000
27,0.4883,0.0000
28,0.5078,0.0000
29,0.5273,0.0000
30,0.5469,0.0488
31,0.5664,0.0000
32,0.5859,0.1953
33,0.6250,-0.2930
34,0.6201,0.0000
35,0.6396,0.0000
36,0.6592,0.0000
37,0.6787,0.0000
38,0.6982,0.0000
39,0.7178,0.0488
40,0.7422,0.2441
41,0.7861,-0.0977
42,0.7959,-0.2441
43,0.7910,0.0000
44,0.8154,0.0000
45,0.8350,-0.0488
46,0.8545,0.0000
47,0.8691,0.0488
48,0.8936,0.0000
49,0.9424,-0.0488
50,0.9521,-0.2930
51,0.9424,0.0000
52,0.9668,0.0000
53,0.9863,0.0000
54,1.0059,0.0000
55,1.0254,0.0000
56,1.0449,0.0488
57,1.0693,0.2441
58,1.1084,-0.0488
59,1.1230,-0.2441
60,1.1133,0.0488
61,1.1377,0.0000
62,1.1572,0.0488
63,1.1768,0.0488
64,1.2012,0.0000
65,1.2207,0.2441
66,1.2695,-0.0977
67,1.2793,-0.3418
68,1.2646,0.0488
69,1.2891,0.0000
70,1.3086,0.0488
71,1.3330,0.0000
72,1.3525,0.0000
73,1.3721,0.0488
74,1.3965,0.2441
75,1.4355,-0.0488
76,1.4502,-0.2930
77,1.4404,0.0488
78,1.4648,0.0000
79,1.4844,0.0000
80,1.5039,0.0488
81,1.5283,0.0000
82,1.5527,0.2441
83,1.5967,-0.0488
84,1.6064,0.0000
85,1.6211,-0.2441
86,1.6113,0.0488
87,1.6309,0.0488
88,1.6455,0.0977
89,1.6650,0.0977
90,1.6797,0.3906
91,1.7187,0.0488
92,1.7236,0.0977
93,1.7285,-0.1465
94,1.7041,0.2441
95,1.7139,0.2441
96,1.7187,0.3418
97,1.7236,0.3906
98,1.7334,0.4395
99,1.7383,0.7324
100,1.7676,0.4883
101,1.7725,0.4883
102,1.7725,0.2441
103,1.7480,0.6348
104,1.7529,0.6348
105,1.7578,0.7324
106,1.7627,0.8301
107,1.7676,1.1230
108,1.7969,0.8301
109,1.7969,0.8789
110,1.7969,0.9277
111,1.7969,0.6836
112,1.7773,1.0254
113,1.7773,1.1230
114,1.7822,1.1719
115,1.7871,1.2695
116,1.7920,1.5137
117,1.8164,1.3184
118,1.8164,1.3672
119,1.8164,1.3672
120,1.8164,1.1719
121,1.7969,1.4648
122,1.7969,1.5625
123,1.8018,1.6602
124,1.8066,1.9531
125,1.8311,1.7578
126,1.8311,1.8066
127,1.8311,1.8066
128,1.8311,1.5625
129,1.8066,1.9043
130,1.8115,2.0020
131,1.8164,2.0020
132,1.8164,2.3926
133,1.8457,2.1484
134,1.8457,2.1973
135,1.8457,2.2461
136,1.8457,2.2461
137,1.8457,2.0508
138,1.8213,2.3926
139,1.8262,2.4414
140,1.8311,2.5391
141,1.8311,2.8320
142,1.8555,2.6367
143,1.8555,2.6855
144,1.8555,2.7344
145,1.8555,2.4902
146,1.8311,2.8320
147,1.8359,2.8809
148,1.8408,2.9297
149,1.8408,3.2715
150,1.8701,3.0273
151,1.8652,3.1250
152,1.8701,3.1250
153,1.8701,3.1250
154,1.8652,2.9785
155,1.8457,3.2715
156,1.8457,3.3691
157,1.8506,3.7109
158,1.8750,3.5156
159,1.8750,3.5645
160,1.8750,3.6133
161,1.8750,3.6621
162,1.8799,3.6133
163,1.8799,3.4180
164,1.8555,3.7598
165,1.8604,3.8574
166,1.8604,4.1992
167,1.8848,4.0039
168,1.8848,4.0527
169,1.8848,4.0527
170,1.8896,4.0527
171,1.8848,3.8574
172,1.8604,4.1992
173,1.8701,4.2480
174,1.8701,4.5898
175,1.8945,4.3945
176,1.8945,4.4434
177,1.8994,4.4434
178,1.8945,4.5410
179,1.8994,4.4922
180,1.8994,4.2969
181,1.8750,4.6387
182,1.8750,4.7852
183,1.8799,5.0781
184,1.9043,4.8828
185,1.9043,4.9316
186,1.9043,4.9805
187,1.9043,5.0293
188,1.9043,5.0293
189,1.9092,4.7852
190,1.8848,5.1758
191,1.8848,5.5176
192,1.9141,5.3223
193,1.9141,5.3223
194,1.9141,5.3223
195,1.9141,5.4199
196,1.9141,5.4688
197,1.9141,5.4688
198,1.9141,5.3223
199,1.8945,5.6152
200,1.8945,5.9570
201,1.9189,5.7617
202,1.9189,5.8105
203,1.9189,5.9082
204,1.9238,5.8594
205,1.9238,5.9082
206,1.9238,5.7129
207,1.8994,6.1035
208,1.8994,6.4453
209,1.9287,6.2012
210,1.9287,6.2500
211,1.9287,6.2988
212,1.9287,6.3477
213,1.9287,6.3965
214,1.9287,6.4453
215,1.9336,6.2012
216,1.9092,6.8359
217,1.9336,6.6406
218,1.9336,6.6895
219,1.9336,6.7383
220,1.9385,6.7383
221,1.9336,6.8359
222,1.9385,6.8359
223,1.9385,6.9336
224,1.9385,6.7383
225,1.9189,7.2754
226,1.9434,7.0801
227,1.9434,7.1777
228,1.9434,7.1777
229,1.9434,7.2754
230,1.9434,7.3242
231,1.9434,7.3730
232,1.9482,7.1289
233,1.9238,7.7148
234,1.9482,7.5684
235,1.9482,7.6172
236,1.9482,7.6660
237,1.9482,7.7148
238,1.9482,7.8125
239,1.9531,7.7637
240,1.9531,7.8125
241,1.9531,7.9590
242,1.9531,8.0078
243,1.9531,8.0566
244,1.9580,8.0566
245,1.9580,8.1543
246,1.9580,8.2031
247,1.9580,8.2520
248,1.9580,8.3008
249,1.9580,8.3984
250,1.9580,8.4473
251,1.9580,8.4961
252,1.9629,8.4961
253,1.9629,8.5937
254,1.9629,8.6426
255,1.9629,8.6914